TurbID,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
1,2020/1/22 19:30,5.9,16778,85,1.6,89,1008,5,,
1,2020/1/22 19:45,5.8,16694,83,1.6,90,1008,4.7,,
1,2020/1/22 20:00,5.8,16611,81,1.5,90,1008,4.6,,
1,2020/1/22 20:15,5.7,16342,80,1.5,90,1008,4.2,,
1,2020/1/22 20:30,5.6,15887,79,1.5,90,1008,4.1,,
1,2020/1/22 20:45,5.5,15432,77,1.5,90,1008,3.9,,
1,2020/1/22 21:00,5.5,14977,76,1.5,90,1008,4.6,,
1,2020/1/22 21:15,5.3,14516,76,1.5,90,1008,4.8,,
1,2020/1/22 21:30,5.2,14050,75,1.5,90,1008,4.7,,
1,2020/1/22 21:45,5.1,13584,74,1.5,90,1008,4.7,,
1,2020/1/22 22:00,5,13118,74,1.5,90,1008,5.1,,
1,2020/1/22 22:15,4.8,12756,72,1.5,90,1008,4.8,,
1,2020/1/22 22:30,4.7,12499,70,1.5,90,1008,4.1,,
1,2020/1/22 22:45,4.6,12241,68,1.5,89,1008,3.9,,
1,2020/1/22 23:00,4.5,11984,66,1.5,89,1008,4.3,,
1,2020/1/22 23:15,4.3,11665,65,1.5,89,1008,4.1,,
1,2020/1/22 23:30,4.2,11286,63,1.4,89,1008,4.2,,
1,2020/1/22 23:45,4.1,10907,62,1.4,90,1008,3.9,,
